ticker,next_day_forecast,next_n_days_forecast,max_n_days_forecast,min_n_days_forecast,avg_n_days_forecast,mse,mape,current_price,current_rsi,model_type,gain_per_share,baseline_shares_purchased,baseline_total_gain
SNDK,660.144775390625,"[660.144775390625, 659.8218994140625, 659.3789672851562, 653.6528930664062, 657.0516967773438, 658.0641479492188, 661.9852294921875, 662.3086547851562, 666.288330078125, 666.4408569335938, 667.690185546875, 668.4600830078125, 669.5856323242188, 668.6170654296875, 673.1709594726562, 673.5843505859375, 675.2369384765625, 677.9730834960938, 680.1361694335938, 679.2398071289062]",680.1361694335938,653.6528930664062,666.9415863037109,2344.9328081291633,5.498947814293502,649.969970703125,57.30827094601856,timesfm,16.971615600585892,1.0,16.462467132568314
TER,332.1884460449219,"[332.1884460449219, 332.4201354980469, 334.2824401855469, 332.83575439453125, 332.6749572753906, 331.2358093261719, 332.6945495605469, 334.65301513671875, 334.71759033203125, 335.5975341796875, 336.412353515625, 336.9803161621094, 336.8182678222656, 335.7872619628906, 337.5834655761719, 336.4027099609375, 334.3514099121094, 331.4107360839844, 332.29205322265625, 330.2496643066406]",337.5834655761719,330.2496643066406,334.07942352294924,4622.459680425981,20.205725296365507,324.8500061035156,75.9915485489426,timesfm,9.229417419433616,3.0,26.857604690551824
APP,433.4797058105469,"[433.4797058105469, 432.1780090332031, 436.2216491699219, 433.3418884277344, 434.5472412109375, 429.524658203125, 431.7828674316406, 428.17852783203125, 430.22125244140625, 428.9518127441406, 427.8761291503906, 424.30902099609375, 422.71270751953125, 419.87445068359375, 421.5119934082031, 421.21295166015625, 422.79095458984375, 418.5903015136719, 418.69537353515625, 416.8050842285156]",436.2216491699219,416.8050842285156,426.6403289794922,6623.369323865091,16.70540939175321,418.67999267578125,43.22116264630529,timesfm,7.96033630371096,2.0,15.443052429199263
TMUS,218.10406494140625,"[218.10406494140625, 217.7631072998047, 218.70318603515625, 218.164306640625, 219.21533203125, 219.55650329589844, 220.97708129882812, 220.60055541992188, 222.0268096923828, 222.93092346191406, 224.4063262939453, 223.86184692382812, 224.51318359375, 223.86029052734375, 224.27398681640625, 223.77731323242188, 224.81600952148438, 224.72085571289062, 225.19415283203125, 224.75653076171875]",225.19415283203125,217.7631072998047,222.1111183166504,347.59135405496926,7.270173117861716,215.4600067138672,70.57496898354806,timesfm,6.651111602783203,4.0,25.80631301879883
WDC,285.9419250488281,"[285.9419250488281, 284.042236328125, 285.7121276855469, 282.9453430175781, 286.0074157714844, 285.0577392578125, 286.3018493652344, 286.44024658203125, 288.6732177734375, 288.5485534667969, 290.73443603515625, 290.3592224121094, 292.72216796875, 292.25885009765625, 293.6614685058594, 294.3551025390625, 294.93853759765625, 293.54022216796875, 295.98858642578125, 294.9473876953125]",295.98858642578125,282.9453430175781,289.65883178710936,677.8546948176343,8.480326283798176,285.5199890136719,60.31449150009353,timesfm,4.138842773437489,3.0,12.044032470703092
FOXA,58.068275451660156,"[58.068275451660156, 58.05973815917969, 58.32987594604492, 58.12592697143555, 58.42005920410156, 58.343509674072266, 58.50835418701172, 58.49966812133789, 58.774497985839844, 58.99978256225586, 59.234153747558594, 59.25395202636719, 59.49591827392578, 59.29167938232422, 59.43495178222656, 59.534873962402344, 59.73615264892578, 59.606361389160156, 59.905006408691406, 59.980499267578125]",59.980499267578125,58.05973815917969,58.98016185760498,69.98381286889999,11.224245979875525,57.02000045776367,10.912702279716854,timesfm,1.9601613998413114,17.0,32.32306148338323
HL,24.31145668029785,"[24.31145668029785, 24.49602699279785, 24.7299861907959, 24.528480529785156, 24.836883544921875, 24.795438766479492, 24.937971115112305, 25.06874656677246, 25.3356990814209, 25.28438377380371, 25.502880096435547, 25.412702560424805, 25.82514190673828, 25.790220260620117, 25.825332641601562, 25.949119567871094, 25.980087280273438, 25.56891632080078, 25.66631507873535, 25.450000762939453]",25.980087280273438,24.31145668029785,25.264789485931395,122.87544221016397,46.256459372528056,24.020000457763672,54.180599659866985,timesfm,1.2447890281677232,41.0,49.50525965023035
FMCC,7.279427528381348,"[7.279427528381348, 7.406402587890625, 7.539154052734375, 7.592491626739502, 7.60011100769043, 7.728020191192627, 7.855710506439209, 7.954437255859375, 8.071599960327148, 8.314769744873047, 8.585935592651367, 8.671507835388184, 8.733650207519531, 8.882526397705078, 9.020761489868164, 9.160652160644531, 9.183752059936523, 9.365020751953125, 9.490760803222656, 9.508934020996094]",9.508934020996094,7.279427528381348,8.397281289100647,0.6545465053020962,10.24893917025812,7.300000190734863,51.57481017104365,timesfm,1.0972810983657837,136.0,144.75332249641417
GLW,136.97915649414062,"[136.97915649414062, 137.58148193359375, 138.42398071289062, 138.3734893798828, 138.89309692382812, 139.5911865234375, 139.998779296875, 140.3722381591797, 140.56582641601562, 140.7994384765625, 141.35250854492188, 141.68951416015625, 141.56222534179688, 141.98178100585938, 141.95071411132812, 141.8347930908203, 141.71420288085938, 142.4022216796875, 142.36965942382812, 142.56365966796875]",142.56365966796875,136.97915649414062,140.54999771118165,755.3715943745541,19.06613117022787,139.50999450683594,79.35558987029029,timesfm,1.0400032043457088,7.0,7.061621757507362
MP,55.2413330078125,"[55.2413330078125, 54.84398651123047, 55.093536376953125, 54.681541442871094, 55.09861373901367, 54.76604080200195, 55.42625045776367, 56.15963363647461, 56.2623176574707, 56.08974838256836, 56.468788146972656, 56.1431770324707, 56.321311950683594, 56.68183517456055, 57.51140594482422, 57.946285247802734, 58.25215148925781, 57.498775482177734, 58.200111389160156, 57.84476852416992]",58.25215148925781,54.681541442871094,56.32658061981201,67.07698490394759,12.748088426380916,55.34000015258789,44.68875780748834,timesfm,0.9865804672241225,18.0,17.22569495773318
MRVL,75.52566528320312,"[75.52566528320312, 75.31069946289062, 76.61804962158203, 75.54000091552734, 75.77606201171875, 76.3682861328125, 78.37710571289062, 79.18402862548828, 80.572021484375, 79.84571075439453, 81.02515411376953, 80.82113647460938, 80.44544219970703, 81.70318603515625, 82.97821807861328, 84.73150634765625, 86.29998016357422, 85.1842269897461, 86.563232421875, 85.42756652832031]",86.563232421875,75.31069946289062,80.41486396789551,9.834871644509258,3.2884608967128957,79.4800033569336,51.44034407663626,timesfm,0.9348606109619197,12.0,10.881777511596745
FTNT,79.71966552734375,"[79.71966552734375, 79.74649047851562, 80.10293579101562, 79.82327270507812, 79.84765625, 79.89008331298828, 80.14991760253906, 80.62254333496094, 80.87777709960938, 80.83724975585938, 81.18270874023438, 80.98434448242188, 80.9102554321289, 80.95623016357422, 81.12106323242188, 81.85096740722656, 82.2469253540039, 82.1999282836914, 82.3642578125, 81.95513916015625]",82.3642578125,79.71966552734375,80.86947059631348,85.58557213220338,10.68611578269972,80.0,47.75800197712755,timesfm,0.8694705963134766,12.0,10.120637741088867
QUBT,7.937246799468994,"[7.937246799468994, 7.902650833129883, 8.019174575805664, 8.016709327697754, 8.049617767333984, 8.028059959411621, 8.180008888244629, 8.265599250793457, 8.42086124420166, 8.56104564666748, 8.683832168579102, 8.753293991088867, 8.841915130615234, 8.860491752624512, 8.932559967041016, 9.025760650634766, 8.98927116394043, 8.956167221069336, 9.032931327819824, 9.056160926818848]",9.056160926818848,7.902650833129883,8.525667929649353,14.7491755883975,41.15280387416186,7.900000095367432,39.10969416086697,timesfm,0.6256678342819217,126.0,76.46912270593647
BSX,74.29814147949219,"[74.29814147949219, 74.41080474853516, 74.61386108398438, 74.7337646484375, 74.92610168457031, 75.09453582763672, 75.25259399414062, 75.24935913085938, 75.38729095458984, 75.41778564453125, 75.45883178710938, 75.30840301513672, 75.26323699951172, 75.22623443603516, 75.25091552734375, 75.43496704101562, 75.40666961669922, 75.36942291259766, 75.34916687011719, 75.31470489501953]",75.45883178710938,74.29814147949219,75.13833961486816,142.1885009141988,13.192900084356957,74.58000183105469,17.473388777635947,timesfm,0.5583377838134709,13.0,7.040639453887867
FNMA,8.024666786193848,"[8.024666786193848, 8.100480079650879, 8.197654724121094, 8.225058555603027, 8.207807540893555, 8.240972518920898, 8.3594388961792, 8.439483642578125, 8.48786735534668, 8.60205078125, 8.838254928588867, 8.931127548217773, 8.955140113830566, 9.05749797821045, 9.109188079833984, 9.145915985107422, 9.13421630859375, 9.142589569091797, 9.05601692199707, 8.857772827148438]",9.145915985107422,8.024666786193848,8.655660057067871,1.4080598532233808,13.146970991100066,8.100000381469727,48.43206912180851,timesfm,0.5556596755981449,123.0,66.29575589561466
