ticker
OPEN
NVDA
INTC
BBAI
PLUG
SNAP
F
TSLA
TLRY
DNN
BITF
NIO
RGTI
AAL
SOFI
PLTR
AMD
SOUN
MARA
AAPL
WBD
QBTS
CAN
PFE
BMNR
ONDS
WULF
BBD
BTG
NU
AMZN
GRAB
ACHR
RIVN
CIFR
JOBY
RIG
RR
T
NOK
LAC
ABEV
QS
HOOD
RXRX
NVTS
IREN
PSLV
BAC
RKT
RIOT
QUBT
BTBT
GOOGL
APLD
HIVE
HBAN
SMCI
VALE
KVUE
HIMS
CLSK
CRWV
ITUB
IONQ
SBET
HPE
LAES
CLF
KEY
HL
PCG
RF
CMCSA
AMCR
MU
PBR
AVGO
ORCL
RKLB
BTE
VZ
UUUU
GOOG
AG
B
PATH
LYFT
MSFT
MRVL
BULL
JBLU
CCL
OKLO
AGNC
RZLV
CMG
CSCO
SMR
AUR
DTREF
KDP
BABA
INFY
EOSE
IQ
LUMN
CSX
OSCR
FSM
CVE
NBIS
FCX
AMC
KGC
UBER
NGD
WMT
CORZ
UEC
TTD
EQX
GGB
SLB
STLA
CRML
CDE
KO
JD
NVO
MP
PSKY
XOM
KHC
FUBO
WFC
BMY
NCLH
EXK
KMI
ERIC
IAG
PYPL
SES
DOW
UNH
C
DKNG
ET
NAK
PTON
BE
HAL
UAMY
CNC
NKE
AEO
FHN
USAR
META
UAA
AVTR
ASTS
TSM
RUN
IOVA
SLDP
DIDIY
PL
PR
TMQ
MRK
LRCX
MSTR
CAG
U
CNH
RCAT
CRCL
CPNG
FIG
NEM
MRNA
CX
WU
VLY
FNB
OXY
COMP
SERV
PINS
TMC
HPQ
TEVA
OWL
AES
LCID
NEE
YMM
COIN
BB
KOS
IBRX
UWMC
GAP
CRM
AI
TEM
VTRS
NXE
USB
PGEN
HBI
SBUX
LDI
GLXY
HLN
CLOV
SCHW
HTZ
LUV
M
QCOM
ADT
ANET
CFLT
URG
ON
PTEN
AMPX
WDC
VG
BSX
ZETA
PDD
BCS
VICI
GT
NB
ALIT
MVST
JNJ
MPW
SBSW
UPS
GM
HST
AMAT
TOST
APH
WIT
XPEV
DAL
DIS
GME
ENPH
COTY
VFC
TGT
DOC
SHOP
JPM
CZR
MO
RBLX
GERN
CTRA
QXO
MCHP
UP
JHX
LUNR
DEFT
TFC
ENVX
SABR
DNUT
POET
PEP
NWL
GLW
EQT
ARRY
PACB
MDLZ
APP
ROIV
BA
UPST
AFRM
DVN
CVX
CHWY
HBM
FNMA
CVS
FTNT
TXN
ASX
APA
TDOC
SRPT
LYG
VRT
WOLF
ELAN
GEVO
PONY
NLY
PG
BAX
PANW
MDT
NUVB
KR
BP
GILD
COMM
NTLA
ASPI
FI
DELL
UMC
WMB
XP
WRD
ACI
ESPR
WEN
COP
FLNC
RDW
HUT
CPRT
BLDP
AA
CNQ
PBR-A
VKTX
BKR
IBKR
XYZ
RDDT
SHLS
DJT
STM
BBWI
KSS
CCCS
VNET
PM
PAAS
ONON
FAST
SVM
SNDK
EXC
FITB
IPG
S
ATAI
SG
IAUX
ALAB
TSHA
NVAX
BTDR
EBAY
REPL
V
RITM
HMY
CARR
COLD
NEOG
JBS
CELH
CPB
GIS
CART
UAL
ABT
UA
BLSH
ETSY
BIDU
MNST
CL
ASM
IOT
SNOW
TIGR
TME
PPL
CRDO
SANA
BEKE
IBM
MTPLF
ETNB
SAND
LI
HPP
GENI
MS
ABBV
FLG
ABSI
AAOI
O
SATS
TECK
ABCL
FTI
VOD
MBLY
PRMB
LULU
BTU
LVS
ARCC
MIR
DXCM
GTLB
AQN
ABNB
COLB
AS
BORR
OGN
RNA
ACN
CCJ
ORC
ZIM
CNP
IVZ
KOPN
CRGY
MOS
SO
TJX
LYB
TE
HUN
GSK
ARM
GDRX
FOLD
D
ORLY
DX
STNE
LBRT
MNKD
CTVA
TGB
DDOG
AZN
EU
PAGS
AEG
CAVA
XEL
MGM
VST
FUN
TSCO
GNW
GTM
DLTR
AR
CWAN
SW
INDI
LLY
NI
RTX
CFG
ULCC
EW
MLTX
HON
HRL
PGY
INVH
ADBE
BRK-B
TMUS
WY
SOC
IBN
TROX
KTOS
FLR
KMX
TAL
AIG
SLI
CTSH
FIS
BTI
PHYS
MQ
IP
PGRE
SE
W
EVGO
BCRX
JCI
COHR
FE
ONB
MTCH
UNP
JMIA
NEXT
SMMT
SEDG
PSNYW
BROS
KIM
SONY
STX
UROY
DHR
BEN
GE
REAL
AGI
CCO
PSEC
OBDC
EPD
AKBA
SNDL
FMCC
FRSH
PSNY
SHEL
CLVT
HR
GPK
NWSA
CRH
CNK
KKR
NG
BRKR
ASAN
AMRZ
RYCEY
VSAT
SU
NNE
BZ
RPRX
SAN
SRE
ALB
CRBG
TER
BX
MAT
NOV
GOSS
EQNR
ARR
OKE
NTNX
PRME
BTSG
GEN
GFI
FTV
SIRI
ARDX
FLEX
AXL
OMC
RBRK
EA
SSRM
VZLA
ADM
LEN
FOXA
FLO
RELY
BILL
TU
SGML
CTMX
CCCX
TWLO
METC
VTYX
DHI
TPR
